word,token,X,Y,formant,language
ei_E_F2,4,9,2100.557935,F2,English
ei_E_F2,4,10,2156.592425,F2,English
ei_E_F2,4,11,2148.479236,F2,English
ei_E_F2,5,1,1634.577087,F2,English
ei_E_F2,5,2,1755.303062,F2,English
ei_E_F2,5,3,1857.296444,F2,English
ei_E_F2,5,4,1918.462231,F2,English
ei_E_F2,5,5,1995.206855,F2,English
ei_E_F2,5,6,2023.436327,F2,English
ei_E_F2,5,7,2083.340008,F2,English
ei_E_F2,5,8,2158.490007,F2,English
ei_E_F2,5,9,2225.653524,F2,English
ei_E_F2,5,10,2287.474894,F2,English
ei_E_F2,5,11,2254.54038,F2,English
ei_E_F2,6,1,1685.125133,F2,English
ei_E_F2,6,2,1858.847787,F2,English
ei_E_F2,6,3,1909.840513,F2,English
ei_E_F2,6,4,1949.301667,F2,English
ei_E_F2,6,5,1986.2012,F2,English
ei_E_F2,6,6,2028.841507,F2,English
ei_E_F2,6,7,2076.092346,F2,English
ei_E_F2,6,8,2111.66616,F2,English
ei_E_F2,6,9,2175.877016,F2,English
ei_E_F2,6,10,2227.472459,F2,English
ei_E_F2,6,11,2174.596628,F2,English
ei_E_F2,7,1,1848.953698,F2,English
ei_E_F2,7,2,1949.368378,F2,English
ei_E_F2,7,3,1930.587062,F2,English
ei_E_F2,7,4,1983.66002,F2,English
ei_E_F2,7,5,1987.657551,F2,English
ei_E_F2,7,6,1992.020854,F2,English
ei_E_F2,7,7,2029.750939,F2,English
ei_E_F2,7,8,2056.472942,F2,English
ei_E_F2,7,9,2090.624031,F2,English
ei_E_F2,7,10,2152.26084,F2,English
ei_E_F2,7,11,2152.31947,F2,English
ei_E_F2,8,1,1842.165958,F2,English
ei_E_F2,8,2,1828.29384,F2,English
ei_E_F2,8,3,1860.40127,F2,English
ei_E_F2,8,4,1926.934228,F2,English
ei_E_F2,8,5,1972.695177,F2,English
ei_E_F2,8,6,1989.405657,F2,English
ei_E_F2,8,7,2009.730381,F2,English
ei_E_F2,8,8,2072.771453,F2,English
ei_E_F2,8,9,2121.347533,F2,English
ei_E_F2,8,10,2165.618545,F2,English
ei_E_F2,8,11,2145.683173,F2,English
ei_E_F2,9,1,1794.782429,F2,English
ei_E_F2,9,2,1818.549966,F2,English
ei_E_F2,9,3,1864.802438,F2,English
ei_E_F2,9,4,1916.208275,F2,English
ei_E_F2,9,5,1999.340423,F2,English
ei_E_F2,9,6,2066.26901,F2,English
ei_E_F2,9,7,2149.938398,F2,English
ei_E_F2,9,8,2218.256978,F2,English
ei_E_F2,9,9,2261.31494,F2,English
ei_E_F2,9,10,2274.628333,F2,English
ei_E_F2,9,11,2196.04461,F2,English
ei_E_F2,10,1,2030.859731,F2,English
ei_E_F2,10,2,1975.744804,F2,English
ei_E_F2,10,3,1970.910806,F2,English
ei_E_F2,10,4,1969.328067,F2,English
ei_E_F2,10,5,1979.243514,F2,English
ei_E_F2,10,6,1991.702589,F2,English
ei_E_F2,10,7,2039.207057,F2,English
ei_E_F2,10,8,2093.48466,F2,English
ei_E_F2,10,9,2149.189912,F2,English
ei_E_F2,10,10,2177.513833,F2,English
ei_E_F2,10,11,2137.044915,F2,English
ei_E_F2,11,1,2114.411316,F2,English
ei_E_F2,11,2,2001.880541,F2,English
ei_E_F2,11,3,2005.028705,F2,English
ei_E_F2,11,4,2018.502089,F2,English
ei_E_F2,11,5,2035.733874,F2,English
ei_E_F2,11,6,2061.946479,F2,English
ei_E_F2,11,7,2098.798099,F2,English
ei_E_F2,11,8,2132.346399,F2,English
ei_E_F2,11,9,2151.054761,F2,English
ei_E_F2,11,10,2202.757836,F2,English
ei_E_F2,11,11,2208.391086,F2,English
ei_E_F2,12,1,2115.867108,F2,English
ei_E_F2,12,2,2021.840633,F2,English
ei_E_F2,12,3,2002.907918,F2,English
ei_E_F2,12,4,2002.788231,F2,English
ei_E_F2,12,5,2034.122622,F2,English
ei_E_F2,12,6,2063.547891,F2,English
ei_E_F2,12,7,2097.60649,F2,English
ei_E_F2,12,8,2151.883618,F2,English
ei_E_F2,12,9,2178.716664,F2,English
ei_E_F2,12,10,2192.760722,F2,English
ei_E_F2,12,11,2185.535563,F2,English
ei_E_F2,13,1,2137.95419,F2,English
ei_E_F2,13,2,2075.9478,F2,English
ei_E_F2,13,3,1922.361157,F2,English
ei_E_F2,13,4,1950.543318,F2,English
ei_E_F2,13,5,2060.667976,F2,English
ei_E_F2,13,6,2113.914227,F2,English
ei_E_F2,13,7,2130.002523,F2,English
ei_E_F2,13,8,2188.460653,F2,English
ei_E_F2,13,9,2216.755454,F2,English
ei_E_F2,13,10,2212.713083,F2,English
ei_E_F2,13,11,2178.305785,F2,English
ei_E_F2,14,1,1839.90899,F2,English
ei_E_F2,14,2,1873.78743,F2,English
ei_E_F2,14,3,1906.913885,F2,English
ei_E_F2,14,4,1948.234867,F2,English
